DateOfValuation,Size SqM,SqFt,PropertyType,NoOfFloors,ADDRESS,SCHEME,PRICE,YEAR,pricePerSqft,Seller
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-07-06",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-07-06",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-06-10",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-06-10",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
24/05/2017,74.97,807.00,Condominium/Apartment,18,""C-09-05",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
24/05/2017,74.97,807.00,Condominium/Apartment,18,""C-09-05",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
21/04/2017,74.97,807.00,Condominium/Apartment,18,""C-06-09",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
21/04/2017,74.97,807.00,Condominium/Apartment,18,""C-06-09",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-03-02",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-03-02",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-06-08",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-06-08",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
7/3/2017,74.97,807.00,Condominium/Apartment,18,""C-12-01",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
7/3/2017,74.97,807.00,Condominium/Apartment,18,""C-12-01",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-10-02",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-10-02",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-08-06",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-08-06",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/10/2017,74.97,807.00,Condominium/Apartment,18,""C-08-10",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/10/2017,74.97,807.00,Condominium/Apartment,18,""C-08-10",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
21/04/2017,74.97,807.00,Condominium/Apartment,18,""C-05-10",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
21/04/2017,74.97,807.00,Condominium/Apartment,18,""C-05-10",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-09-08",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-09-08",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-05-01",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-05-01",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
6/1/2018,74.97,807.00,Condominium/Apartment,18,""C-12-05",JLN SG BESI"1 RAZAK MANSION,42000.00,2018,52.02575275,null
6/1/2018,74.97,807.00,Condominium/Apartment,18,""C-12-05",JLN SG BESI"1 RAZAK MANSION,42000.00,2018,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-11-09",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-11-09",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-05-02",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.97,807.00,Condominium/Apartment,18,""C-05-02",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.02575275,null
3/3/2017,74.32,800.00,Condominium/Apartment,18,""C-08-03",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.50176878,null
3/3/2017,74.32,800.00,Condominium/Apartment,18,""C-08-03",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.50176878,null
4/4/2017,74.32,800.00,Condominium/Apartment,18,""C-08-3A",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.50176878,null
4/4/2017,74.32,800.00,Condominium/Apartment,18,""C-08-3A",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.50176878,null
3/3/2017,74.32,800.00,Condominium/Apartment,18,""C-11-01",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.50176878,null
3/3/2017,74.32,800.00,Condominium/Apartment,18,""C-11-01",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.50176878,null
3/3/2017,74.32,800.00,Condominium/Apartment,18,""C-11-10",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.50176878,null
3/3/2017,74.32,800.00,Condominium/Apartment,18,""C-11-10",JLN SG BESI"1 RAZAK MANSION,42000.00,2017,52.50176878,null
27/08/2018,74.97,807.00,Condominium/Apartment,18,""B-05-02",JLN RAZAK MANSION"1 RAZAK MANSION,240000.00,2018,297.2900157,null
27/08/2018,74.97,807.00,Condominium/Apartment,18,""B-05-02",JLN RAZAK MANSION"1 RAZAK MANSION,240000.00,2018,297.2900157,null
26/07/2017,74.97,807.00,Condominium/Apartment,18,""B-13-12",JLN SG BESI"1 RAZAK MANSION,250000.00,2017,309.6770997,null
26/07/2017,74.97,807.00,Condominium/Apartment,18,""B-13-12",JLN SG BESI"1 RAZAK MANSION,250000.00,2017,309.6770997,null
4/7/2018,74.32,800.00,Condominium/Apartment,18,""A-10-1",JLN SG BESI"1 RAZAK MANSION,250000.00,2018,312.5105285,null
4/7/2018,74.32,800.00,Condominium/Apartment,18,""A-10-1",JLN SG BESI"1 RAZAK MANSION,250000.00,2018,312.5105285,null
18/10/2019,74.97,807.00,Condominium/Apartment,18,""B-09-06",JLN RAZAK MANSION"1 RAZAK MANSION,275000.00,2019,340.6448097,null
18/10/2019,74.97,807.00,Condominium/Apartment,18,""B-09-06",JLN RAZAK MANSION"1 RAZAK MANSION,275000.00,2019,340.6448097,null
5/9/2019,74.97,807.00,Condominium/Apartment,18,""B-17-15",JLN RAZAK MANSION"1 RAZAK MANSION,275000.00,2019,340.6448097,null
5/9/2019,74.97,807.00,Condominium/Apartment,18,""B-17-15",JLN RAZAK MANSION"1 RAZAK MANSION,275000.00,2019,340.6448097,null
15/04/2021,74.97,807.00,Condominium/Apartment,18,""B-05-06",JLN RAZAK MANSION"1 RAZAK MANSION,280000.00,2021,346.8383517,null
15/04/2021,74.97,807.00,Condominium/Apartment,18,""B-05-06",JLN RAZAK MANSION"1 RAZAK MANSION,280000.00,2021,346.8383517,null
7/8/2020,74.97,807.00,Condominium/Apartment,18,""A-17-2",JLN RAZAK MANSION"1 RAZAK MANSION,285000.00,2020,353.0318936,null
7/8/2020,74.97,807.00,Condominium/Apartment,18,""A-17-2",JLN RAZAK MANSION"1 RAZAK MANSION,285000.00,2020,353.0318936,null
3/2/2020,74.97,807.00,Condominium/Apartment,18,""A-11-3A",JLN RAZAK MANSION"1 RAZAK MANSION,285000.00,2020,353.0318936,null
3/2/2020,74.97,807.00,Condominium/Apartment,18,""A-11-3A",JLN RAZAK MANSION"1 RAZAK MANSION,285000.00,2020,353.0318936,null
4/12/2019,74.97,807.00,Condominium/Apartment,18,""A-11-01",JLN RAZAK MANSION"1 RAZAK MANSION,290000.00,2019,359.2254356,null
4/12/2019,74.97,807.00,Condominium/Apartment,18,""A-11-01",JLN RAZAK MANSION"1 RAZAK MANSION,290000.00,2019,359.2254356,null
12/6/2019,74.97,807.00,Condominium/Apartment,18,""B-08-09",JLN RAZAK MANSION"1 RAZAK MANSION,290000.00,2019,359.2254356,null
12/6/2019,74.97,807.00,Condominium/Apartment,18,""B-08-09",JLN RAZAK MANSION"1 RAZAK MANSION,290000.00,2019,359.2254356,null
9/10/2020,74.97,807.00,Condominium/Apartment,18,""A-06-2",JLN RAZAK MANSION"1 RAZAK MANSION,295000.00,2020,365.4189776,null
9/10/2020,74.97,807.00,Condominium/Apartment,18,""A-06-2",JLN RAZAK MANSION"1 RAZAK MANSION,295000.00,2020,365.4189776,null
9/3/2020,74.97,807.00,Condominium/Apartment,18,""A-12-8",JLN RAZAK MANSION"1 RAZAK MANSION,300000.00,2020,371.6125196,null
9/3/2020,74.97,807.00,Condominium/Apartment,18,""A-12-8",JLN RAZAK MANSION"1 RAZAK MANSION,300000.00,2020,371.6125196,null
9/1/2020,74.97,807.00,Condominium/Apartment,18,""B-08-06",JLN RAZAK MANSION"1 RAZAK MANSION,300000.00,2020,371.6125196,null
9/1/2020,74.97,807.00,Condominium/Apartment,18,""B-08-06",JLN RAZAK MANSION"1 RAZAK MANSION,300000.00,2020,371.6125196,null
29/06/2020,74.97,807.00,Condominium/Apartment,18,""A-13-08",JLN RAZAK MANSION"1 RAZAK MANSION,310000.00,2020,383.9996036,null
29/06/2020,74.97,807.00,Condominium/Apartment,18,""A-13-08",JLN RAZAK MANSION"1 RAZAK MANSION,310000.00,2020,383.9996036,null
3/3/2021,74.97,807.00,Condominium/Apartment,18,""A-14-15",JLN RAZAK MANSION"1 RAZAK MANSION,315000.00,2021,390.1931456,null
3/3/2021,74.97,807.00,Condominium/Apartment,18,""A-14-15",JLN RAZAK MANSION"1 RAZAK MANSION,315000.00,2021,390.1931456,null
21/07/2017,74.97,807.00,Condominium/Apartment,18,""A-16-13A",JLN SG BESI"1 RAZAK MANSION,330000.00,2017,408.7737716,null
21/07/2017,74.97,807.00,Condominium/Apartment,18,""A-16-13A",JLN SG BESI"1 RAZAK MANSION,330000.00,2017,408.7737716,null
8/7/2020,86.03,926.00,Condominium/Apartment,10,""53-6-3",JLN 3/109C"ABADI INDAH APARTMENT,190000.00,2020,205.251101,null
8/7/2020,86.03,926.00,Condominium/Apartment,10,""53-6-3",JLN 3/109C"ABADI INDAH APARTMENT,190000.00,2020,205.251101,null
19/03/2021,86.03,926.00,Condominium/Apartment,10,""55-4-4",JLN 3/109C"ABADI INDAH APARTMENT,200000.00,2021,216.0537905,null
19/03/2021,86.03,926.00,Condominium/Apartment,10,""55-4-4",JLN 3/109C"ABADI INDAH APARTMENT,200000.00,2021,216.0537905,null
7/1/2020,77.02,829.00,Condominium/Apartment,10,""9-6-9",JLN 3/109C"ABADI INDAH APARTMENT,192000.00,2020,231.6545577,null
7/1/2020,77.02,829.00,Condominium/Apartment,10,""9-6-9",JLN 3/109C"ABADI INDAH APARTMENT,192000.00,2020,231.6545577,null
14/07/2020,86.03,926.00,Condominium/Apartment,12,""9-5-7(B-5-7)",JLN 3/109C"ABADI INDAH APARTMENT,240000.00,2020,259.2645486,null
14/07/2020,86.03,926.00,Condominium/Apartment,12,""9-5-7(B-5-7)",JLN 3/109C"ABADI INDAH APARTMENT,240000.00,2020,259.2645486,null
6/11/2019,86.03,926.00,Condominium/Apartment,10,""53-1-7",JLN 3/109C"ABADI INDAH APARTMENT,250000.00,2019,270.0672381,null
6/11/2019,86.03,926.00,Condominium/Apartment,10,""53-1-7",JLN 3/109C"ABADI INDAH APARTMENT,250000.00,2019,270.0672381,null
18/06/2019,56.02,603.00,Condominium/Apartment,12,""F-7-1",JLN 3/109C"ABADI INDAH APARTMENT,167000.00,2019,277.0504053,null
18/06/2019,56.02,603.00,Condominium/Apartment,12,""F-7-1",JLN 3/109C"ABADI INDAH APARTMENT,167000.00,2019,277.0504053,null
14/07/2020,77.02,829.00,Condominium/Apartment,10,""9-5-9",JLN 3/109C"ABADI INDAH APARTMENT,235000.00,2020,283.5355263,null
14/07/2020,77.02,829.00,Condominium/Apartment,10,""9-5-9",JLN 3/109C"ABADI INDAH APARTMENT,235000.00,2020,283.5355263,null
15/12/2020,77.02,829.00,Condominium/Apartment,10,""51-8-5",JLN 3/109C"ABADI INDAH APARTMENT,235000.00,2020,283.5355263,null
15/12/2020,77.02,829.00,Condominium/Apartment,10,""51-8-5",JLN 3/109C"ABADI INDAH APARTMENT,235000.00,2020,283.5355263,null
2/7/2019,86.03,926.00,Condominium/Apartment,10,""55-1-9 (E-1-9)",JLN KELANG LAMA"ABADI INDAH APARTMENT,268000.00,2019,289.5120792,null
2/7/2019,86.03,926.00,Condominium/Apartment,10,""55-1-9 (E-1-9)",JLN KELANG LAMA"ABADI INDAH APARTMENT,268000.00,2019,289.5120792,null
14/11/2019,77.02,829.00,Condominium/Apartment,10,""7-6-12",JLN 3/109C"ABADI INDAH APARTMENT,240000.00,2019,289.5681971,null
14/11/2019,77.02,829.00,Condominium/Apartment,10,""7-6-12",JLN 3/109C"ABADI INDAH APARTMENT,240000.00,2019,289.5681971,null
16/12/2019,77.02,829.00,Condominium/Apartment,10,""51-7-5",JLN 3/109C"ABADI INDAH APARTMENT,240000.00,2019,289.5681971,null
16/12/2019,77.02,829.00,Condominium/Apartment,10,""51-7-5",JLN 3/109C"ABADI INDAH APARTMENT,240000.00,2019,289.5681971,null
13/12/2018,86.03,926.00,Condominium/Apartment,10,""53-1-6",JLN 3/109C"ABADI INDAH APARTMENT,270000.00,2018,291.6726171,null
13/12/2018,86.03,926.00,Condominium/Apartment,10,""53-1-6",JLN 3/109C"ABADI INDAH APARTMENT,270000.00,2018,291.6726171,null
12/10/2020,86.03,926.00,Condominium/Apartment,10,""55-3-10",JLN 3/109C"ABADI INDAH APARTMENT,270000.00,2020,291.6726171,null
12/10/2020,86.03,926.00,Condominium/Apartment,10,""55-3-10",JLN 3/109C"ABADI INDAH APARTMENT,270000.00,2020,291.6726171,null
10/11/2018,87.98,947.00,Condominium/Apartment,10,""53-3-12 (D-3-12)",JLN 3/109C"ABADI INDAH APARTMENT,278000.00,2018,293.4894331,null
10/11/2018,87.98,947.00,Condominium/Apartment,10,""53-3-12 (D-3-12)",JLN 3/109C"ABADI INDAH APARTMENT,278000.00,2018,293.4894331,null
29/10/2019,78.97,850.00,Condominium/Apartment,12,""51-5-16",JLN 3/109C"ABADI INDAH APARTMENT,250000.00,2019,293.9972465,null
29/10/2019,78.97,850.00,Condominium/Apartment,12,""51-5-16",JLN 3/109C"ABADI INDAH APARTMENT,250000.00,2019,293.9972465,null
8/12/2020,56.02,603.00,Condominium/Apartment,12,""F-10-01",JLN 3/109C"ABADI INDAH APARTMENT,180000.00,2020,298.6172033,null
8/12/2020,56.02,603.00,Condominium/Apartment,12,""F-10-01",JLN 3/109C"ABADI INDAH APARTMENT,180000.00,2020,298.6172033,null
10/7/2019,77.02,829.00,Condominium/Apartment,12,""9-5-6",JLN 3/109C"ABADI INDAH APARTMENT,248000.00,2019,299.2204703,null
10/7/2019,77.02,829.00,Condominium/Apartment,12,""9-5-6",JLN 3/109C"ABADI INDAH APARTMENT,248000.00,2019,299.2204703,null
18/07/2018,87.98,947.00,Condominium/Apartment,10,""55-7-11",JALAN 3/109C"ABADI INDAH APARTMENT,285000.00,2018,300.8794548,null
18/07/2018,87.98,947.00,Condominium/Apartment,10,""55-7-11",JALAN 3/109C"ABADI INDAH APARTMENT,285000.00,2018,300.8794548,null
31/01/2020,87.98,947.00,Condominium/Apartment,10,""55-9-11 (E-9-11)",JLN 3/109C"ABADI INDAH APARTMENT,285000.00,2020,300.8794548,null
31/01/2020,87.98,947.00,Condominium/Apartment,10,""55-9-11 (E-9-11)",JLN 3/109C"ABADI INDAH APARTMENT,285000.00,2020,300.8794548,null
24/05/2019,55.56,598.00,Condominium/Apartment,12,""F-10-01",JLN 3/109C"ABADI INDAH APARTMENT,180000.00,2019,301.0145693,null
24/05/2019,55.56,598.00,Condominium/Apartment,12,""F-10-01",JLN 3/109C"ABADI INDAH APARTMENT,180000.00,2019,301.0145693,null
29/05/2017,77.02,829.00,Condominium/Apartment,12,""7-9-10 (P: A-9-10)",JLN 3/109C"ABADI INDAH APARTMENT,250000.00,2017,301.6335387,null
29/05/2017,77.02,829.00,Condominium/Apartment,12,""7-9-10 (P: A-9-10)",JLN 3/109C"ABADI INDAH APARTMENT,250000.00,2017,301.6335387,null
16/12/2019,77.02,829.00,Condominium/Apartment,12,""7-5-5 (A-5-5)",JLN 3/109C"ABADI INDAH APARTMENT,250000.00,2019,301.6335387,null
16/12/2019,77.02,829.00,Condominium/Apartment,12,""7-5-5 (A-5-5)",JLN 3/109C"ABADI INDAH APARTMENT,250000.00,2019,301.6335387,null
21/06/2019,56.02,603.00,Condominium/Apartment,12,""F-10-06",JLN 3/109C"ABADI INDAH APARTMENT,182000.00,2019,301.9351722,null
21/06/2019,56.02,603.00,Condominium/Apartment,12,""F-10-06",JLN 3/109C"ABADI INDAH APARTMENT,182000.00,2019,301.9351722,null
10/11/2018,86.03,926.00,Condominium/Apartment,10,""55-5-3",JLN 3/109C"ABADI INDAH APARTMENT,280000.00,2018,302.4753067,null
10/11/2018,86.03,926.00,Condominium/Apartment,10,""55-5-3",JLN 3/109C"ABADI INDAH APARTMENT,280000.00,2018,302.4753067,null
11/9/2018,60.02,646.00,Condominium/Apartment,12,""A-9-1",JLN 2/109C"ABADI INDAH APARTMENT,197000.00,2018,305.0319432,null
11/9/2018,60.02,646.00,Condominium/Apartment,12,""A-9-1",JLN 2/109C"ABADI INDAH APARTMENT,197000.00,2018,305.0319432,null
21/07/2020,77.02,829.00,Condominium/Apartment,12,""7-10-12 (A-10-12)",JLN 3/109C"ABADI INDAH APARTMENT,255000.00,2020,307.6662094,null
21/07/2020,77.02,829.00,Condominium/Apartment,12,""7-10-12 (A-10-12)",JLN 3/109C"ABADI INDAH APARTMENT,255000.00,2020,307.6662094,null
3/9/2021,74.97,807.00,Condominium/Apartment,12,""7-1-13",JLN 3/109C"ABADI INDAH APARTMENT,250000.00,2021,309.6770997,null
3/9/2021,74.97,807.00,Condominium/Apartment,12,""7-1-13",JLN 3/109C"ABADI INDAH APARTMENT,250000.00,2021,309.6770997,null
23/09/2019,74.97,807.00,Condominium/Apartment,10,""7-11-4(A-11-4)",JLN 3/109C"ABADI INDAH APARTMENT,250000.00,2019,309.6770997,null
23/09/2019,74.97,807.00,Condominium/Apartment,10,""7-11-4(A-11-4)",JLN 3/109C"ABADI INDAH APARTMENT,250000.00,2019,309.6770997,null
18/03/2019,86.03,926.00,Condominium/Apartment,10,""55-4-6(E-4-6)",JLN 3/109C"ABADI INDAH APARTMENT,290000.00,2019,313.2779962,null
18/03/2019,86.03,926.00,Condominium/Apartment,10,""55-4-6(E-4-6)",JLN 3/109C"ABADI INDAH APARTMENT,290000.00,2019,313.2779962,null
20/04/2018,77.02,829.00,Condominium/Apartment,12,""9-7-4",JLN 3/109C"ABADI INDAH APARTMENT,260000.00,2018,313.6988802,null
20/04/2018,77.02,829.00,Condominium/Apartment,12,""9-7-4",JLN 3/109C"ABADI INDAH APARTMENT,260000.00,2018,313.6988802,null
29/06/2020,77.02,829.00,Condominium/Apartment,12,""51-6-13",JLN 3/109C"ABADI INDAH APARTMENT,260000.00,2020,313.6988802,null
29/06/2020,77.02,829.00,Condominium/Apartment,12,""51-6-13",JLN 3/109C"ABADI INDAH APARTMENT,260000.00,2020,313.6988802,null
3/5/2020,77.02,829.00,Condominium/Apartment,10,""7-6-7",JLN 3/109C"ABADI INDAH APARTMENT,260000.00,2020,313.6988802,null
3/5/2020,77.02,829.00,Condominium/Apartment,10,""7-6-7",JLN 3/109C"ABADI INDAH APARTMENT,260000.00,2020,313.6988802,null
12/7/2018,60.02,646.00,Condominium/Apartment,12,""A-1-1 (M1-1-1)",JLN 2/109C"ABADI INDAH APARTMENT,205000.00,2018,317.4190272,null
12/7/2018,60.02,646.00,Condominium/Apartment,12,""A-1-1 (M1-1-1)",JLN 2/109C"ABADI INDAH APARTMENT,205000.00,2018,317.4190272,null
25/06/2020,78.97,850.00,Condominium/Apartment,10,""7-8-16",JLN 3/109C"ABADI INDAH APARTMENT,270000.00,2020,317.5170263,null
25/06/2020,78.97,850.00,Condominium/Apartment,10,""7-8-16",JLN 3/109C"ABADI INDAH APARTMENT,270000.00,2020,317.5170263,null
5/2/2019,57.97,624.00,Condominium/Apartment,12,""D-2-3",JLN 2/109C"ABADI INDAH APARTMENT,199000.00,2019,318.7538423,null
5/2/2019,57.97,624.00,Condominium/Apartment,12,""D-2-3",JLN 2/109C"ABADI INDAH APARTMENT,199000.00,2019,318.7538423,null
5/10/2019,77.02,829.00,Condominium/Apartment,12,""51-6-3 (C-6-3)",JLN 3/109C"ABADI INDAH APARTMENT,265000.00,2019,319.731551,null
