DateOfValuation,Size SqM,SqFt,PropertyType,NoOfFloors,ADDRESS,SCHEME,PRICE,YEAR,pricePerSqft,SellerName
1/3/2017,57,614,Low-Cost Flat,20,"4-14-4,JLN PANTAI DALAM",DESA PANTAI FLAT,180000,2017,293.378305,null
14/02/2018,57,614,Low-Cost Flat,20,"5-2-7,JLN PANTAI DALAM",DESA PANTAI FLAT,180000,2018,293.378305,null
31/01/2019,57,614,Low-Cost Flat,20,"1-14-1, KONDO RAKYAT,JLN PANTAI DALAM",DESA PANTAI FLAT,180000,2019,293.378305,null
28/05/2019,57,614,Low-Cost Flat,20,"2-5-2,JLN PANTAI DALAM",DESA PANTAI FLAT,180000,2019,293.378305,null
3/12/2018,57,614,Low-Cost Flat,20,"4-01-7,JLN PANTAI DALAM",DESA PANTAI FLAT,180000,2018,293.378305,null
26/11/2020,57,614,Low-Cost Flat,20,"4-12-2,JLN PANTAI DALAM",DESA PANTAI FLAT,180000,2020,293.378305,null
24/08/2020,57,614,Low-Cost Flat,20,"5-8-5, KONDO RAKYAT,JLN PANTAI DALAM",DESA PANTAI FLAT,180000,2020,293.378305,null
8/1/2017,57,614,Low-Cost Flat,20,"2-18-0, KONDO RAKYAT,JLN PANTAI DALAM",DESA PANTAI FLAT,185000,2017,301.5277023,null
14/05/2020,57,614,Low-Cost Flat,20,"1-18-07,JLN PANTAI DALAM",DESA PANTAI FLAT,185000,2020,301.5277023,null
17/12/2020,57,614,Low-Cost Flat,19,"03-10-01,JLN PANTAI DALAM",DESA PANTAI FLAT,185000,2020,301.5277023,null
18/12/2019,57.598,620,Low-Cost Flat,20,"2-15-7,JLN PANTAI DALAM",DESA PANTAI FLAT,190000,2019,306.4619376,null
28/05/2018,57,614,Low-Cost Flat,20,"1-17-03,JLN PANTAI DALAM",DESA PANTAI FLAT,190000,2018,309.6770997,null
30/04/2019,57,614,Low-Cost Flat,20,"2-8-7,JLN PANTAI DALAM",DESA PANTAI FLAT,190000,2019,309.6770997,null
26/11/2018,57,614,Low-Cost Flat,20,"5-2-2,JLN PANTAI DALAM",DESA PANTAI FLAT,190000,2018,309.6770997,null
26/08/2019,57,614,Low-Cost Flat,20,"3-17-01,JLN PANTAI DALAM",DESA PANTAI FLAT,195000,2019,317.826497,null
11/12/2018,57,614,Low-Cost Flat,20,"1-14-1,JLN PANTAI DALAM",DESA PANTAI FLAT,195000,2018,317.826497,null
21/08/2020,57,614,Low-Cost Flat,20,"1-07-04,JLN PANTAI DALAM",DESA PANTAI FLAT,195000,2020,317.826497,null
20/11/2019,57.598,620,Low-Cost Flat,20,"1-18-10,JLN PANTAI DALAM",DESA PANTAI FLAT,200000,2019,322.5915133,null
11/7/2019,57.598,620,Low-Cost Flat,20,"4-08-9,JLN PANTAI DALAM",DESA PANTAI FLAT,200000,2019,322.5915133,null
18/12/2018,57,614,Low-Cost Flat,20,"5-9-12,JLN PANTAI DALAM",DESA PANTAI FLAT,200000,2018,325.9758944,null
29/12/2020,57,614,Low-Cost Flat,20,"4-7-12,JLN PANTAI DALAM",DESA PANTAI FLAT,200000,2020,325.9758944,null
2/8/2021,57,614,Low-Cost Flat,20,"2-07-04,JLN PANTAI DALAM",DESA PANTAI FLAT,200000,2021,325.9758944,null
9/3/2020,57,614,Low-Cost Flat,20,"4-4-11.KONDO RAKYAT,JLN PANTAI DALAM",DESA PANTAI FLAT,200000,2020,325.9758944,null
18/03/2021,57,614,Low-Cost Flat,20,"02-03-03,KONDO RAKYAT, JLN PANTAI DALAM",DESA PANTAI FLAT,200000,2021,325.9758944,null
18/09/2019,57,614,Low-Cost Flat,20,"5-8-1,JLN PANTAI DALAM",DESA PANTAI FLAT,205000,2019,334.1252918,null
20/07/2018,57,614,Low-Cost Flat,20,"2-1-7,JLN PANTAI DALAM",DESA PANTAI FLAT,208000,2018,339.0149302,null
20/03/2018,57,614,Low-Cost Flat,20,"1-17-6,JLN PANTAI DALAM",DESA PANTAI FLAT,210000,2018,342.2746891,null
6/11/2020,57,614,Low-Cost Flat,20,"2-02-10,JLN PANTAI DALAM",DESA PANTAI FLAT,220000,2020,358.5734838,null
3/11/2019,57,614,Low-Cost Flat,20,"1-01-08,JLN PANTAI DALAM",DESA PANTAI FLAT,225000,2019,366.7228812,null
9/7/2020,57,614,Low-Cost Flat,20,"4-07-04,JLN PANTAI DALAM",DESA PANTAI FLAT,235000,2020,383.0216759,null
31/12/2019,57,614,Low-Cost Flat,20,"5-8-9,JLN PANTAI DALAM",DESA PANTAI FLAT,250000,2019,407.469868,null
15/05/2019,680,7319,Detached House,2,"8,JLN LAMAN SEPUTEH 4",DESA SEPUTEH,5800000,2019,792.4090492,null
14/08/2019,622,6695,Detached House,2,"1,JLN LAMAN SEPUTEH 4",DESA SEPUTEH,6100000,2019,911.1078656,null
2/2/2018,553,5952,Detached House,2,"8,JLN LAMAN SEPUTEH 3",DESA SEPUTEH,5800000,2018,974.3908742,null
9/1/2020,553,5952,Detached House,2,"8,JLN LAMAN SEPUTEH 3",DESA SEPUTEH,5900000,2020,991.1907169,null
17/04/2019,506,5447,Detached House,2,"3,JLN LAMAN SEPUTEH 4",DESA SEPUTEH,5430000,2019,996.9644178,null
4/5/2019,427,4596,Detached House,2,"NO. 7,JLN LAMAN SEPUTEH 1",DESA SEPUTEH,5660000,2019,1231.456008,null
2/6/2017,243,2616,Terraced House,3,"NO.35,JLN 4/88A",DESA SEPUTEH,1100000,2017,420.5491477,null
1/8/2021,223,2400,Terraced House,3,"25,JALAN DESA SEPUTEH",DESA SEPUTEH,1100000,2021,458.2665601,null
1/9/2018,153,1647,Terraced House,3,"70,JALAN DESA SEPUTEH 1",DESA SEPUTEH,800000,2018,485.7679995,null
17/05/2017,284,3057,Terraced House,2,"50,JALAN 33/70A",DESA SRI HARTAMAS,2350000,2017,768.7406876,null
12/4/2020,359.802,3873,Terraced House,2,"68,JLN 33/70A",DESA SRI HARTAMAS,3000000,2020,774.6187896,null
8/1/2018,223,2400,Terraced House,2,"24,JLN 34/70A",DESA SRI HARTAMAS,1880000,2018,783.2192118,null
30/11/2018,223,2400,Terraced House,2,"43,JALAN 35/70A",DESA SRI HARTAMAS,1900000,2018,791.551331,null
8/2/2017,164,1765,Terraced House,2,"4,JLN 33/70A",DESA SRI HARTAMAS,1480000,2017,838.3940992,null
24/09/2020,153,1647,Terraced House,2,"33,JALAN 39/70A",DESA SRI HARTAMAS,1438000,2020,873.1679791,null
30/08/2018,163.504,1760,Terraced House,2,"5,JALAN 35/70A",DESA SRI HARTAMAS,1600000,2018,909.1215374,null
1/11/2017,153,1647,Terraced House,2,"55,JALAN 43/70A",DESA SRI HARTAMAS,1500000,2017,910.8149991,null
21/05/2019,153,1647,Terraced House,2,"12,JALAN 37/70A",DESA SRI HARTAMAS,1500000,2019,910.8149991,null
16/10/2017,164,1765,Terraced House,2,"15,JLN 35/70A",DESA SRI HARTAMAS,1620000,2017,917.7016491,null
4/2/2019,153,1647,Terraced House,2,"22A,JLN 45/70A",DESA SRI HARTAMAS,1550000,2019,941.1754991,null
27/09/2019,153,1647,Terraced House,2,"6,JALAN 37/70A",DESA SRI HARTAMAS,1570000,2019,953.319699,null
19/11/2018,174,1873,Terraced House,2,"NO. 28,JALAN 42/70A",DESA SRI HARTAMAS,1800000,2018,961.0668611,null
25/03/2019,153.28,1650,Terraced House,2,"3,JLN 45/70A",DESA SRI HARTAMAS,1600000,2019,969.7612725,null
10/12/2017,153,1647,Terraced House,2,"55,JALAN 43/70A",DESA SRI HARTAMAS,1599888,2017,971.4679915,null
19/04/2018,153,1647,Terraced House,2,"2A,JALAN 37/70A",DESA SRI HARTAMAS,1620000,2018,983.680199,null
26/12/2019,153,1647,Terraced House,2,"NO. 38,JLN 37/70A",DESA SRI HARTAMAS,1650000,2019,1001.896499,null
8/7/2018,153,1647,Terraced House,2,"21,JLN 42/70A",DESA SRI HARTAMAS,1650000,2018,1001.896499,null
27/12/2018,153,1647,Terraced House,2,"12A,JALAN 44/70A",DESA SRI HARTAMAS,1660000,2018,1007.968599,null
2/5/2018,153,1647,Terraced House,2,"39,JLN 35/70A",DESA SRI HARTAMAS,1995000,2018,1211.383949,null
23/08/2017,107,1152,Condominium/Apartment,18,"M1B-10-197,JLN. BUKIT DESA 3",DESA VILLA CONDO,300000,2017,260.4760652,null
8/11/2017,104,1119,Condominium/Apartment,18,"18-1-3A,JLN. BUKIT DESA 3",DESA VILLA CONDO,370000,2017,330.5207506,null
11/11/2019,116,1249,Condominium/Apartment,6,"26-2-1 (E-2-1),JLN BUKIT DESA 3",DESA VILLA CONDO,495000,2019,396.4400802,null
26/11/2019,107,1152,Condominium/Apartment,5,"18-2-8,JLN BUKIT DESA 3",DESA VILLA CONDO,498000,2019,432.3902682,null
22/07/2019,116,1249,Condominium/Apartment,5,"22-3-2,JLN BUKIT DESA 3",DESA VILLA CONDO,568000,2019,454.9049809,null
27/03/2017,199,2142,Condominium/Apartment,18,"24-16-8,JLN. BUKIT DESA 3",DESA VILLA CONDO,980000,2017,457.512901,null
31/10/2019,199,2142,Condominium/Apartment,18,"24-15-3(B-15-3)PH1,JLN. BUKIT DESA 3",DESA VILLA CONDO,980000,2019,457.512901,null
25/07/2017,107,1152,Condominium/Apartment,18,"18-4-6,JLN. BUKIT DESA 3",DESA VILLA CONDO,550000,2017,477.5394528,null
16/04/2018,116,1249,Condominium/Apartment,6,"26-1-6,JLN BUKIT DESA 3",DESA VILLA CONDO,600000,2018,480.5334306,null
11/1/2019,116,1249,Condominium/Apartment,5,"22-4-3,JLN BUKIT DESA 3",DESA VILLA CONDO,605000,2019,484.5378758,null
2/12/2020,199,2142,Condominium/Apartment,18,"18-15-3,JLN. BUKIT DESA 3",DESA VILLA CONDO,1050000,2020,490.192394,null
26/04/2017,119,1281,Condominium/Apartment,6,"22-0-3,JLN BUKIT DESA 3",DESA VILLA CONDO,628000,2017,490.2787024,null
15/05/2018,113.01,1216,Condominium/Apartment,18,"20-2-3A,JLN. BUKIT DESA 3",DESA VILLA CONDO,610000,2018,501.4680935,null
14/01/2020,107,1152,Condominium/Apartment,5,"18-10-7,JLN BUKIT DESA 3",DESA VILLA CONDO,580000,2020,503.5870593,null
5/2/2019,107,1152,Condominium/Apartment,5,"18-7-2,JLN BUKIT DESA 3",DESA VILLA CONDO,580000,2019,503.5870593,null
4/4/2019,116,1249,Condominium/Apartment,5,"22-1-3A,JLN BUKIT DESA 3",DESA VILLA CONDO,630000,2019,504.5601021,null
29/08/2018,116,1249,Condominium/Apartment,6,"22-3-3,JLN BKT DESA 3",DESA VILLA CONDO,650000,2018,520.5778831,null
31/05/2018,107,1152,Condominium/Apartment,18,"24-5-3,JLN. BUKIT DESA 3",DESA VILLA CONDO,600000,2018,520.9521303,null
22/10/2018,116,1249,Condominium/Apartment,6,"26-2-5,JLN. BUKIT DESA 3",DESA VILLA CONDO,660000,2018,528.5867736,null
27/12/2019,119,1281,Condominium/Apartment,5,"20-0-3,JLN BUKIT DESA 3",DESA VILLA CONDO,680000,2019,530.875028,null
10/7/2019,116,1249,Condominium/Apartment,6,"26-1-5(E-1-5),JLN. BUKIT DESA 3",DESA VILLA CONDO,670000,2019,536.5956641,null
22/05/2017,107,1152,Condominium/Apartment,18,"24-4-3,JLN. BUKIT DESA 3",DESA VILLA CONDO,620000,2017,538.3172013,null
31/08/2019,116,1249,Condominium/Apartment,5,"20-1-5,JLN BUKIT DESA 3",DESA VILLA CONDO,680000,2019,544.6045546,null
12/11/2018,116,1249,Condominium/Apartment,5,"26-2-3A (E-2-3A),JLN BUKIT DESA 3",DESA VILLA CONDO,705000,2018,564.6267809,null
19/05/2017,107,1152,Condominium/Apartment,18,"18-8-7,JLN. BUKIT DESA 3",DESA VILLA CONDO,663000,2017,575.652104,null
17/03/2020,116,1249,Condominium/Apartment,6,"26-4-3A (P: E-4-3A),JLN BUKIT DESA 3",DESA VILLA CONDO,720000,2020,576.6401167,null
19/06/2018,108,1163,Condominium/Apartment,17,"18-8-1,JLN BUKIT DESA 3",DESA VILLA CONDO,750000,2018,645.1606244,null
4/10/2018,104,1119,Condominium/Apartment,17,"18-3-5(P:A-3-5),JLN BUKIT DESA 3",DESA VILLA CONDO,750000,2018,669.9744945,null
12/10/2018,115,1238,Condominium/Apartment,6,"B-10-1,JLN DESA UTAMA",DESARINA CONDOMINIUM,310000,2018,250.4345241,null
7/1/2019,115,1238,Condominium/Apartment,6,"B-8-3A,JALAN DESA UTAMA, TMN DESA",DESARINA CONDOMINIUM,465000,2019,375.6517861,null
21/11/2018,124,1335,Condominium/Apartment,6,"A1-3-3A,JLN DESA UTAMA",DESARINA CONDOMINIUM,510000,2018,382.1015827,null
9/2/2020,115,1238,Condominium/Apartment,6,"B-8-3A,JALAN DESA UTAMA, TMN DESA",DESARINA CONDOMINIUM,505000,2020,407.9659183,null
10/11/2018,157,1690,Terraced House,3,"60,JALAN BUKIT KIARA",EAST RESIDENCES @ KLGCC,3500000,2018,2071.088883,null
7/3/2018,86,926,Condominium/Apartment,20,"82-15-6,JALAN DESA UTAMA",FABER HEIGHTS,350000,2018,378.0941333,null
15/12/2020,87,936,Condominium/Apartment,20,"80-1-1,JALAN DESA UTAMA",FABER HEIGHTS,420000,2020,448.4978685,null
1/7/2020,88,947,Condominium/Apartment,19,"80-18-6,JALAN DESA UTAMA",FABER HEIGHTS,450000,2020,475.0728234,null
15/04/2019,111,1195,Condominium/Apartment,20,"82-1-3,JALAN DESA UTAMA",FABER HEIGHTS,570000,2019,477.0701265,null
31/07/2017,112,1206,Condominium/Apartment,20,"78-16-3,JALAN DESA UTAMA",FABER HEIGHTS,585000,2017,485.2529553,null
21/08/2019,112,1206,Condominium/Apartment,19,"78-2-3 (P:A025),JALAN DESA UTAMA",FABER HEIGHTS,590000,2019,489.4004165,null
31/12/2019,111,1195,Condominium/Apartment,19,"82-15-4(P:C155),JALAN DESA UTAMA",FABER HEIGHTS,590000,2019,493.8094292,null
22/09/2020,56,603,Condominium/Apartment,19,"80-6-7,JALAN DESA UTAMA",FABER HEIGHTS,298000,2020,494.3773699,null
4/11/2018,88,947,Condominium/Apartment,19,"80-18-6,JALAN DESA UTAMA",FABER HEIGHTS,470000,2018,496.1871711,null
4/8/2019,87,936,Condominium/Apartment,19,"80-16-8,JALAN DESA UTAMA",FABER HEIGHTS,468000,2019,499.7547678,null
6/5/2017,92.157,992,Condominium/Apartment,20,"82-16-6,JALAN DESA UTAMA",FABER HEIGHTS,500000,2017,504.0481456,null
6/5/2017,92.157,992,Condominium/Apartment,20,"82-15-6,JALAN DESA UTAMA",FABER HEIGHTS,500000,2017,504.0481456,null
15/12/2017,92.157,992,Condominium/Apartment,20,"82-16-6,JALAN DESA UTAMA",FABER HEIGHTS,500000,2017,504.0481456,null
3/1/2018,87,936,Condominium/Apartment,19,"80-6-5,JALAN DESA UTAMA",FABER HEIGHTS,480000,2018,512.5689926,null
18/05/2020,87,936,Condominium/Apartment,11,"80-15-1,JLN DESA UTAMA",FABER HEIGHTS,480000,2020,512.5689926,null
27/11/2020,87,936,Condominium/Apartment,20,"78-12-6 (A124),JALAN DESA UTAMA",FABER HEIGHTS,498000,2020,531.7903298,null
13/09/2018,87,936,Condominium/Apartment,20,"78-02-1,JALAN DESA UTAMA",FABER HEIGHTS,500000,2018,533.9260339,null
9/8/2017,112,1206,Condominium/Apartment,19,"78-9-4,JALAN DESA UTAMA",FABER HEIGHTS,645000,2017,535.0224892,null
9/6/2017,111,1195,Condominium/Apartment,19,"82-14-3(C146),JALAN DESA UTAMA",FABER HEIGHTS,640000,2017,535.6576859,null
21/05/2018,56,603,Condominium/Apartment,20,"80-6-2(B067),JALAN DESA UTAMA",FABER HEIGHTS,330000,2018,547.4648727,null
13/03/2018,111,1195,Condominium/Apartment,19,"82-8-4 (P: C085),JALAN DESA UTAMA",FABER HEIGHTS,670000,2018,560.76664,null
5/4/2017,88,947,Condominium/Apartment,20,"80-9-6(B095),JALAN DESA UTAMA",FABER HEIGHTS,535000,2017,564.8088011,null
21/08/2019,88,947,Condominium/Apartment,20,"80-8-7,JALAN DESA UTAMA",FABER HEIGHTS,535000,2019,564.8088011,null
4/10/2018,67,721,Condominium/Apartment,20,"80-4-2,JALAN DESA UTAMA",FABER HEIGHTS,415000,2018,575.4447599,null
26/09/2017,87,936,Condominium/Apartment,20,"80-185,JALAN DESA UTAMA",FABER HEIGHTS,560000,2017,597.997158,null
4/10/2019,54,581,Condominium/Apartment,19,"82-9-5(C091),JALAN DESA UTAMA",FABER HEIGHTS,350000,2019,602.1499161,null
14/06/2019,140,1507,Condominium/Apartment,19,"82-18-3 (C183),JALAN DESA UTAMA",FABER HEIGHTS,958000,2019,635.7228461,null
9/10/2020,54,581,Condominium/Apartment,19,"78-08-5 (A 082),JALAN DESA UTAMA",FABER HEIGHTS,370000,2020,636.5584827,null
8/7/2020,54,581,Condominium/Apartment,19,"82-14-2,JALAN DESA UTAMA",FABER HEIGHTS,380000,2020,653.762766,null
21/02/2017,54,581,Condominium/Apartment,20,"78-13-2(A131),JALAN DESA UTAMA",FABER HEIGHTS,400000,2017,688.1713326,null
7/7/2017,54,581,Condominium/Apartment,20,"78-18-2,JALAN DESA UTAMA",FABER HEIGHTS,400000,2017,688.1713326,null
6/9/2017,54,581,Condominium/Apartment,20,"82-11-5,JALAN DESA UTAMA",FABER HEIGHTS,430000,2017,739.7841826,null
24/04/2019,49,527,Condominium/Apartment,5,"26D,JLN KELANG LAMA",FABER INDAH,107000,2019,202.8701,null
11/2/2020,147,1582,Condominium/Apartment,5,"32F-3,JALAN DESA CANTIK,TMN DESA,",FABER INDAH,570000,2020,360.2366262,null
17/11/2020,82,883,Condominium/Apartment,5,"26F,JLN DESA CANTIK",FABER INDAH,390000,2020,441.8563496,null
21/02/2019,60,646,Condominium/Apartment,5,"28-LG-5,JLN KELANG LAMA",FABER INDAH,300000,2019,464.5156495,null
21/05/2018,129,1389,Flat,4,"34D,JLN DESA UTAMA",FABER PLAZA,400000,2018,288.0717206,null
26/12/2018,134,1442,Flat,4,"63C,JLN DESA UTAMA",FABER PLAZA,550000,2018,381.3188168,null
1/6/2021,88,947,Condominium/Apartment,20,"4-15B,OFF JALAN KELANG LAMA",FABER RIA,150400,2021,158.7798947,null
12/12/2017,97,1044,Condominium/Apartment,21,"6-16-E(CM-16-2E),OFF JLN KELANG LAMA",FABER RIA,300000,2017,287.3292678,null
16/11/2020,133,1432,Condominium/Apartment,20,"2-7,OFF JALAN KELANG LAMA",FABER RIA,480000,2020,335.2894914,null
5/2/2019,155,1668,Condominium/Apartment,5,"18-1,JALAN DESA SENTOSA",FABER RIA,570000,2019,341.643768,null
20/10/2020,123,1324,Condominium/Apartment,20,"2-19C,OFF JLN KELANG LAMA",FABER RIA,475000,2020,358.7722496,null
22/03/2017,97,1044,Condominium/Apartment,19,"2-7E (RB/7/2E),OFF JLN KELANG LAMA",FABER RIA,380000,2017,363.9504058,null
21/10/2020,97,1044,Condominium/Apartment,19,"2-11D,OFF JLN KELANG LAMA",FABER RIA,380800,2020,364.7166172,null
30/05/2019,88,947,Condominium/Apartment,20,"4-19B,OFF JALAN KELANG LAMA",FABER RIA,360000,2019,380.0582587,null
7/12/2019,97,1044,Condominium/Apartment,21,"CM/7/2D(6-7D),OFF JLN KELANG LAMA",FABER RIA,400000,2019,383.1056903,null
29/08/2018,93,1001,Condominium/Apartment,20,"46-4,OFF JLN KELANG LAMA",FABER RIA,386000,2018,385.597937,null
2/2/2021,93,1001,Condominium/Apartment,5,"10-3,JALAN DESA UTAMA",FABER RIA,395000,2021,394.5885625,null
28/04/2017,100,1076,Condominium/Apartment,20,"6-17A (CM-17-2A),JLN DESA SENTOSA",FABER RIA,430000,2017,399.4834586,null
23/03/2021,93,1001,Condominium/Apartment,21,"24-4,OFF JLN KELANG LAMA",FABER RIA,413000,2021,412.5698135,null
7/6/2018,100,1076,Condominium/Apartment,5,"6-13B,JALAN DESA SENTOSA",FABER RIA,450000,2018,418.0640846,null
7/6/2018,100,1076,Condominium/Apartment,5,"6-13B,JALAN DESA SENTOSA",FABER RIA,450000,2018,418.0640846,null
12/3/2018,122,1313,Condominium/Apartment,20,"4-18C(TJ-18-3C),OFF JLN KELANG LAMA",FABER RIA,550000,2018,418.8255856,null
9/9/2020,88,947,Condominium/Apartment,20,"4-12B,OFF JALAN KELANG LAMA",FABER RIA,400000,2020,422.2869541,null
6/11/2018,133,1432,Condominium/Apartment,20,"6-10 (CM-10-3F)-HR,JLN DESA SENTOSA",FABER RIA,630000,2018,440.0674575,null
22/12/2017,122,1313,Condominium/Apartment,20,"4-16C,OFF JALAN KELANG LAMA",FABER RIA,590000,2017,449.2856282,null
13/06/2017,97,1044,Condominium/Apartment,21,"2-12E,OFF JLN KELANG LAMA",FABER RIA,470000,2017,450.1491861,null
1/3/2017,97,1044,Condominium/Apartment,20,"2-17D,OFF JLN KELANG LAMA",FABER RIA,475000,2017,454.9380073,null
9/9/2018,97,1044,Condominium/Apartment,20,"6-9D,JALAN DESA UTAMA",FABER RIA,475000,2018,454.9380073,null
13/11/2020,122,1313,Condominium/Apartment,21,"4-4,JALAN DESA UTAMA",FABER RIA,600000,2020,456.9006389,null
3/8/2017,122,1313,Condominium/Apartment,20,"4-9,OFF JALAN KELANG LAMA",FABER RIA,600000,2017,456.9006389,null
14/08/2018,97,1044,Condominium/Apartment,21,"6-16D (CM-16-2D),OFF JLN KELANG LAMA",FABER RIA,485000,2018,464.5156495,null
20/11/2017,60,646,Condominium/Apartment,20,"2- 5D,OFF JLN KELANG LAMA",FABER RIA,300000,2017,464.5156495,null
7/4/2018,93,1001,Condominium/Apartment,5,"40-4,JALAN DESA SENTOSA",FABER RIA,475000,2018,474.5052334,null
12/1/2020,85,915,Condominium/Apartment,3,"52-1,JLN DESA SENTOSA",FABER RIA,435000,2020,475.4454295,null
15/07/2020,93,1001,Condominium/Apartment,5,"14-4(E/21/2B)LR,JALAN DESA UTAMA",FABER RIA,480000,2020,479.5000253,null
18/08/2017,97,1044,Condominium/Apartment,20,"6-11-D (CM-11-2D),OFF JLN KELANG LAMA",FABER RIA,510000,2017,488.4597552,null
23/03/2019,88,947,Condominium/Apartment,19,"4-18A,OFF JLN KELANG LAMA",FABER RIA,465000,2019,490.9085842,null
4/10/2018,122,1313,Condominium/Apartment,20,"4-9C,OFF JALAN KELANG LAMA",FABER RIA,650000,2018,494.9756921,null
1/12/2017,93,1001,Condominium/Apartment,5,"46-5,JALAN DESA SENTOSA",FABER RIA,500000,2017,499.479193,null
19/07/2019,85,915,Condominium/Apartment,5,"42-2,JLN DESA UTAMA",FABER RIA,465000,2019,508.2347695,null
19/09/2017,133,1432,Condominium/Apartment,21,"6-13,JALAN DESA SENTOSA",FABER RIA,730000,2017,509.9194348,null
4/5/2017,154,1658,Condominium/Apartment,5,"40-3,OFF JLN KELANG LAMA",FABER RIA,850000,2017,512.7770157,null
24/01/2017,93,1001,Condominium/Apartment,5,"12-4 (E-4-12),OFF JLN KELANG LAMA",FABER RIA,520000,2017,519.4583608,null
20/03/2017,133,1432,Condominium/Apartment,21,"2-8,OFF JLN KELANG LAMA",FABER RIA,750000,2017,523.8898303,null
10/4/2017,44,474,Condominium/Apartment,4,"26,JALAN DESA UTAMA",FABER RIA,270000,2017,570.0873881,null
22/02/2017,85,915,Condominium/Apartment,3,"10-1 LR (E/23/2C),OFF JLN KELANG LAMA",FABER RIA,535000,2017,584.7432294,null
13/03/2018,44,474,Condominium/Apartment,5,"28 (C-14-1F),OFF JLN KELANG LAMA",FABER RIA,290000,2018,612.3160835,null
4/1/2017,60,646,Condominium/Apartment,21,"6-5C (CM/5/1C) -HR,OFF JLN KELANG LAMA",FABER RIA,410000,2017,634.8380544,null
15/02/2019,153,1647,Terraced House,2,"54,LORONG BANDAR 3",FAIRVIEW GARDEN,700000,2019,425.0469996,null
23/02/2018,315,3391,Terraced House,2,"NO. 56,LORONG BANDAR",FAIRVIEW GARDEN,1580000,2018,465.9903024,null
30/03/2017,154,1658,Terraced House,2,"60,LORONG BANDAR 3",FAIRVIEW GARDEN,870000,2017,524.8423573,null
24/04/2018,155,1668,Terraced House,2,"64,LORONG BANDAR 3",FAIRVIEW GARDEN,895000,2018,536.4406533,null
6/1/2018,154,1658,Terraced House,2,"44,LORONG BANDAR 2",FAIRVIEW GARDEN,938000,2018,565.8645185,null
15/05/2018,154,1658,Terraced House,2,"70,LORONG BANDAR 3",FAIRVIEW GARDEN,1068000,2018,644.2892386,null
11/12/2020,121.699,1310,Condominium/Apartment,6,"59-5,LORONG BANDAR 2",FAIRVIEW MANSION,225000,2020,171.7615118,null
12/9/2019,105.906,1140,Flat,6,"59-1,LRG BANDAR DUA",FAIRVIEW MANSION,175000,2019,153.5139438,null
12/9/2019,105.906,1140,Flat,6,"59-1,LRG BANDAR DUA",FAIRVIEW MANSION,175000,2019,153.5139438,null
30/05/2020,134.241,1445,Flat,6,"59-5D,LRG BANDAR DUA",FAIRVIEW MANSION,250000,2020,173.0155651,null
23/07/2020,111,1195,Condominium/Apartment,18,"66-16-03,JLN PANTAI BARU",FAJAR RIA  APARTMENT,480000,2020,401.7432645,null
4/3/2017,111,1195,Condominium/Apartment,17,"66-08-03,JALAN PANTAI BARU",FAJAR RIA  APARTMENT,490000,2017,410.1129158,null
23/08/2018,111,1195,Condominium/Apartment,17,"66-13-01,JALAN PANTAI BARU",FAJAR RIA  APARTMENT,500000,2018,418.4825671,null
22/01/2021,111,1195,Condominium/Apartment,17,"66-10-04 (B10-4),JLN PANTAI BAHARU",FAJAR RIA  APARTMENT,500000,2021,418.4825671,null
25/08/2020,121,1302,Condominium/Apartment,10,"C1-10-9,JLN PANTAI BARU",FAJAR RIA  APARTMENT,560000,2020,429.9648987,null
19/03/2018,111,1195,Condominium/Apartment,17,"66-13-06,JALAN PANTAI BARU",FAJAR RIA  APARTMENT,528000,2018,441.9175909,null
28/09/2020,76,818,Condominium/Apartment,10,"66-4-11 (C2-4-11),JLN PANTAI BARU",FAJAR RIA  APARTMENT,380000,2020,464.5156495,null
19/04/2017,111,1195,Condominium/Apartment,17,"66-07-03,JALAN PANTAI BARU",FAJAR RIA  APARTMENT,570000,2017,477.0701265,null
4/10/2018,75,807,Condominium/Apartment,17,"66-03-10,JALAN PANTAI BARU",FAJAR RIA  APARTMENT,390000,2018,483.0962755,null
13/12/2018,111,1195,Condominium/Apartment,15,"66-11-05 ,(P:B11-05),JLN PANTAI BARU",FAJAR RIA  APARTMENT,580000,2018,485.4397779,null
17/01/2018,121,1302,Condominium/Apartment,11,"66-03-09,JLN PANTAI BARU",FAJAR RIA  APARTMENT,650000,2018,499.0664003,null
21/02/2018,76,818,Condominium/Apartment,17,"66-06-12,JALAN PANTAI BARU",FAJAR RIA  APARTMENT,430000,2018,525.6361297,null
19/05/2017,856,9214,Detached House,2,"45,LKG NEGERI SEMBILAN",FEDERAL HILL,3600000,2017,390.7140977,null
11/3/2018,158,1701,Terraced House,2,"NO.37,LINGKUNGAN NEGERI SEMBILAN",FEDERAL HILL,775000,2018,455.6957321,null
20/08/2018,623,6706,Terraced House,3,"10,LKG NEGERI SEMBILAN",FEDERAL HILL,4200000,2018,626.3132353,null
27/08/2020,158,1701,Terraced House,2,"NO.37,LINGKUNGAN NEGERI SEMBILAN",FEDERAL HILL,1200000,2020,705.5933917,null
19/05/2020,222,2390,Terraced House,2,"NO.26,LINGKUNGAN NEGERI SEMBILAN",FEDERAL HILL,1750000,2020,732.3444925,null
16/11/2017,156,1679,Terraced House,3,"24,LINGKUNGAN NEGERI SEMBILAN",FEDERAL HILL,1300000,2017,774.1927492,null
