ProjectName,Address,Size,Price
1 DESA RESIDENCE,"A-5-3A,JLN DESA BAKTI 2",2142,1300000
1 DESA RESIDENCE,"A-10-3,JALAN DESA BAKTI 2",2142,1380000
1 DESA RESIDENCE,"A-7-3,JLN DESA BAKTI 2",2142,1400000
1 DESA RESIDENCE,"A-7-2,JLN DESA BAKTI 2",2142,1450000
1 DESA RESIDENCE,"A-3-2,JALAN DESA BAKTI 2",2142,1575000
1 DESA RESIDENCE,"A-5-1,JALAN DESA BAKTI",2142,1590000
1 RAZAK MANSION,"C-07-03,JLN SG BESI",807,42000
1 RAZAK MANSION,"C-07-10,JLN SG BESI",807,42000
